"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"California"	"06"	"2000"	"2000"	"Nov., 2000"	"2000/11"	101	Not Applicable	Not Applicable
	"California"	"06"	"2000"	"2000"	"Dec., 2000"	"2000/12"	131	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Jan., 2001"	"2001/01"	127	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Feb., 2001"	"2001/02"	97	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Mar., 2001"	"2001/03"	122	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Apr., 2001"	"2001/04"	124	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"May, 2001"	"2001/05"	129	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Jun., 2001"	"2001/06"	113	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Jul., 2001"	"2001/07"	157	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Aug., 2001"	"2001/08"	151	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Sep., 2001"	"2001/09"	158	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Oct., 2001"	"2001/10"	157	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Nov., 2001"	"2001/11"	137	Not Applicable	Not Applicable
	"California"	"06"	"2001"	"2001"	"Dec., 2001"	"2001/12"	117	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Jan., 2002"	"2002/01"	157	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Feb., 2002"	"2002/02"	103	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Mar., 2002"	"2002/03"	149	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Apr., 2002"	"2002/04"	144	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"May, 2002"	"2002/05"	156	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Jun., 2002"	"2002/06"	135	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Jul., 2002"	"2002/07"	167	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Aug., 2002"	"2002/08"	166	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Sep., 2002"	"2002/09"	201	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Oct., 2002"	"2002/10"	130	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Nov., 2002"	"2002/11"	161	Not Applicable	Not Applicable
	"California"	"06"	"2002"	"2002"	"Dec., 2002"	"2002/12"	141	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Jan., 2003"	"2003/01"	143	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Feb., 2003"	"2003/02"	137	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Mar., 2003"	"2003/03"	156	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Apr., 2003"	"2003/04"	122	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"May, 2003"	"2003/05"	161	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Jun., 2003"	"2003/06"	148	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Jul., 2003"	"2003/07"	162	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Aug., 2003"	"2003/08"	163	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Sep., 2003"	"2003/09"	170	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Oct., 2003"	"2003/10"	161	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Nov., 2003"	"2003/11"	127	Not Applicable	Not Applicable
	"California"	"06"	"2003"	"2003"	"Dec., 2003"	"2003/12"	132	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Jan., 2004"	"2004/01"	164	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Feb., 2004"	"2004/02"	114	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Mar., 2004"	"2004/03"	157	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Apr., 2004"	"2004/04"	145	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"May, 2004"	"2004/05"	175	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Jun., 2004"	"2004/06"	134	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Jul., 2004"	"2004/07"	165	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Aug., 2004"	"2004/08"	180	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Sep., 2004"	"2004/09"	149	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Oct., 2004"	"2004/10"	144	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Nov., 2004"	"2004/11"	141	Not Applicable	Not Applicable
	"California"	"06"	"2004"	"2004"	"Dec., 2004"	"2004/12"	140	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Jan., 2005"	"2005/01"	172	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Feb., 2005"	"2005/02"	129	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Mar., 2005"	"2005/03"	154	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Apr., 2005"	"2005/04"	135	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"May, 2005"	"2005/05"	151	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Jun., 2005"	"2005/06"	139	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Jul., 2005"	"2005/07"	184	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Aug., 2005"	"2005/08"	193	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Sep., 2005"	"2005/09"	134	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Oct., 2005"	"2005/10"	164	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Nov., 2005"	"2005/11"	163	Not Applicable	Not Applicable
	"California"	"06"	"2005"	"2005"	"Dec., 2005"	"2005/12"	160	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Jan., 2006"	"2006/01"	155	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Feb., 2006"	"2006/02"	134	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Mar., 2006"	"2006/03"	133	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Apr., 2006"	"2006/04"	172	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"May, 2006"	"2006/05"	161	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Jun., 2006"	"2006/06"	170	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Jul., 2006"	"2006/07"	190	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Aug., 2006"	"2006/08"	171	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Sep., 2006"	"2006/09"	141	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Oct., 2006"	"2006/10"	163	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Nov., 2006"	"2006/11"	146	Not Applicable	Not Applicable
	"California"	"06"	"2006"	"2006"	"Dec., 2006"	"2006/12"	147	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Jan., 2007"	"2007/01"	168	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Feb., 2007"	"2007/02"	121	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Mar., 2007"	"2007/03"	120	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Apr., 2007"	"2007/04"	137	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"May, 2007"	"2007/05"	125	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Jun., 2007"	"2007/06"	154	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Jul., 2007"	"2007/07"	168	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Aug., 2007"	"2007/08"	175	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Sep., 2007"	"2007/09"	134	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Oct., 2007"	"2007/10"	136	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Nov., 2007"	"2007/11"	119	Not Applicable	Not Applicable
	"California"	"06"	"2007"	"2007"	"Dec., 2007"	"2007/12"	144	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Jan., 2008"	"2008/01"	125	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Feb., 2008"	"2008/02"	139	Not Applicable	Not Applicable
